Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Pony_Spell_NightTerrors_Lore_Key,Text,,,,,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.
Pony_Spell_PastryWarfare_Name_Key,Text,,,,,Pastry Warfare,Pastry Warfare,Pastry Warfare,Pastry Warfare,Pastry Warfare,Pastry Warfare
Pony_Spell_PastryWarfare_Description_Key,Text,,,,,Apply <nobr><b>Dazed {[effect0.status0.power]}</b></nobr> to a random enemy unit three times.,Apply <nobr><b>Dazed {[effect0.status0.power]}</b></nobr> to a random enemy unit three times.,Apply <nobr><b>Dazed {[effect0.status0.power]}</b></nobr> to a random enemy unit three times.,Apply <nobr><b>Dazed {[effect0.status0.power]}</b></nobr> to a random enemy unit three times.,Apply <nobr><b>Dazed {[effect0.status0.power]}</b></nobr> to a random enemy unit three times.,Apply <nobr><b>Dazed {[effect0.status0.power]}</b></nobr> to a random enemy unit three times.
Pony_Spell_PastryWarfare_Lore_Key,Text,,,,,"When pressed into conflict, these ponies' typical means of warfare seem rather... tame. I'm worried about how well they'll hold up when they face the true horrors of battle.","When pressed into conflict, these ponies' typical means of warfare seem rather... tame. I'm worried about how well they'll hold up when they face the true horrors of battle.","When pressed into conflict, these ponies' typical means of warfare seem rather... tame. I'm worried about how well they'll hold up when they face the true horrors of battle.","When pressed into conflict, these ponies' typical means of warfare seem rather... tame. I'm worried about how well they'll hold up when they face the true horrors of battle.","When pressed into conflict, these ponies' typical means of warfare seem rather... tame. I'm worried about how well they'll hold up when they face the true horrors of battle.","When pressed into conflict, these ponies' typical means of warfare seem rather... tame. I'm worried about how well they'll hold up when they face the true horrors of battle."
Pony_Spell_Reserves_Name_Key,Text,,,,,Reserves,Reserves,Reserves,Reserves,Reserves,Reserves
Pony_Spell_Reserves_Description_Key,Text,,,,,"Apply +10[attack], [health] and <b>Frozen</b> to all units in your hand.","Apply +10[attack], [health] and <b>Frozen</b> to all units in your hand.","Apply +10[attack], [health] and <b>Frozen</b> to all units in your hand.","Apply +10[attack], [health] and <b>Frozen</b> to all units in your hand.","Apply +10[attack], [health] and <b>Frozen</b> to all units in your hand.","Apply +10[attack], [health] and <b>Frozen</b> to all units in your hand."
Pony_Spell_Reserves_Lore_Key,Text,,,,,"Whenever there's any sort of real trouble, it's curious how the royal guards only seem to arrive after the conflict has already been resolved. Curious indeed.","Whenever there's any sort of real trouble, it's curious how the royal guards only seem to arrive after the conflict has already been resolved. Curious indeed.","Whenever there's any sort of real trouble, it's curious how the royal guards only seem to arrive after the conflict has already been resolved. Curious indeed.","Whenever there's any sort of real trouble, it's curious how the royal guards only seem to arrive after the conflict has already been resolved. Curious indeed.","Whenever there's any sort of real trouble, it's curious how the royal guards only seem to arrive after the conflict has already been resolved. Curious indeed.","Whenever there's any sort of real trouble, it's curious how the royal guards only seem to arrive after the conflict has already been resolved. Curious indeed."
Pony_Spell_Shenanigans_Name_Key,Text,,,,,Shenanigans,Shenanigans,Shenanigans,Shenanigans,Shenanigans,Shenanigans
Pony_Spell_Shenanigans_Description_Key,Text,,,,,Deal {[effect0.power]} damage to a target unit and apply <nobr><b>Emberdrain {[effect1.status0.power]}</b></nobr>.,Deal {[effect0.power]} damage to a target unit and apply <nobr><b>Emberdrain {[effect1.status0.power]}</b></nobr>.,Deal {[effect0.power]} damage to a target unit and apply <nobr><b>Emberdrain {[effect1.status0.power]}</b></nobr>.,Deal {[effect0.power]} damage to a target unit and apply <nobr><b>Emberdrain {[effect1.status0.power]}</b></nobr>.,Deal {[effect0.power]} damage to a target unit and apply <nobr><b>Emberdrain {[effect1.status0.power]}</b></nobr>.,Deal {[effect0.power]} damage to a target unit and apply <nobr><b>Emberdrain {[effect1.status0.power]}</b></nobr>.
Pony_Spell_Shenanigans_Lore_Key,Text,,,,,"Many young fillies and colts devote themselves to a period of experimentation where they try out many new skills and talents in rapid succession to earn that coveted cutie mark. This can be destructive and messy, but adults are usually cautiously supportive.","Many young fillies and colts devote themselves to a period of experimentation where they try out many new skills and talents in rapid succession to earn that coveted cutie mark. This can be destructive and messy, but adults are usually cautiously supportive.","Many young fillies and colts devote themselves to a period of experimentation where they try out many new skills and talents in rapid succession to earn that coveted cutie mark. This can be destructive and messy, but adults are usually cautiously supportive.","Many young fillies and colts devote themselves to a period of experimentation where they try out many new skills and talents in rapid succession to earn that coveted cutie mark. This can be destructive and messy, but adults are usually cautiously supportive.","Many young fillies and colts devote themselves to a period of experimentation where they try out many new skills and talents in rapid succession to earn that coveted cutie mark. This can be destructive and messy, but adults are usually cautiously supportive.","Many young fillies and colts devote themselves to a period of experimentation where they try out many new skills and talents in rapid succession to earn that coveted cutie mark. This can be destructive and messy, but adults are usually cautiously supportive."
Pony_Spell_TimeToShine_Name_Key,Text,,,,,Time To Shine,Time To Shine,Time To Shine,Time To Shine,Time To Shine,Time To Shine
Pony_Spell_TimeToShine_Description_Key,Text,,,,,Pull target unit to the front and apply <nobr>+10[attack]</nobr>.,Pull target unit to the front and apply <nobr>+10[attack]</nobr>.,Pull target unit to the front and apply <nobr>+10[attack]</nobr>.,Pull target unit to the front and apply <nobr>+10[attack]</nobr>.,Pull target unit to the front and apply <nobr>+10[attack]</nobr>.,Pull target unit to the front and apply <nobr>+10[attack]</nobr>.
Pony_Spell_TimeToShine_Lore_Key,Text,,,,,"They say that every pony gets their fifteen minutes of fame. Best be careful, though, for fame can destroy those who aren't prepared for it.","They say that every pony gets their fifteen minutes of fame. Best be careful, though, for fame can destroy those who aren't prepared for it.","They say that every pony gets their fifteen minutes of fame. Best be careful, though, for fame can destroy those who aren't prepared for it.","They say that every pony gets their fifteen minutes of fame. Best be careful, though, for fame can destroy those who aren't prepared for it.","They say that every pony gets their fifteen minutes of fame. Best be careful, though, for fame can destroy those who aren't prepared for it.","They say that every pony gets their fifteen minutes of fame. Best be careful, though, for fame can destroy those who aren't prepared for it."
Pony_Spell_BuckOff_Name_Key,Text,,,,,Buck Off,Buck Off,Buck Off,Buck Off,Buck Off,Buck Off
Pony_Spell_BuckOff_Description_Key,Text,,,,,Kill the first non-boss enemy unit.,Kill the first non-boss enemy unit.,Kill the first non-boss enemy unit.,Kill the first non-boss enemy unit.,Kill the first non-boss enemy unit.,Kill the first non-boss enemy unit.
Pony_Spell_BuckOff_Lore_Key,Text,,,,,"They may look small, but these ponies sure pack a punch. If enough of them gang up on a target all at once, they'll kick 'em clean off the train.","They may look small, but these ponies sure pack a punch. If enough of them gang up on a target all at once, they'll kick 'em clean off the train.","They may look small, but these ponies sure pack a punch. If enough of them gang up on a target all at once, they'll kick 'em clean off the train.","They may look small, but these ponies sure pack a punch. If enough of them gang up on a target all at once, they'll kick 'em clean off the train.","They may look small, but these ponies sure pack a punch. If enough of them gang up on a target all at once, they'll kick 'em clean off the train.","They may look small, but these ponies sure pack a punch. If enough of them gang up on a target all at once, they'll kick 'em clean off the train."
Pony_Spell_PartyInvitation_Name_Key,Text,,,,,Party Invitation,Party Invitation,Party Invitation,Party Invitation,Party Invitation,Party Invitation
Pony_Spell_PartyInvitation_Description_Key,Text,,,,,"Draw a unit from your deck and apply +5[attack], [health], and <b>Social</b>.","Draw a unit from your deck and apply +5[attack], [health], and <b>Social</b>.","Draw a unit from your deck and apply +5[attack], [health], and <b>Social</b>.","Draw a unit from your deck and apply +5[attack], [health], and <b>Social</b>.","Draw a unit from your deck and apply +5[attack], [health], and <b>Social</b>.","Draw a unit from your deck and apply +5[attack], [health], and <b>Social</b>."
Pony_Spell_PartyInvitation_Lore_Key,Text,,,,,I'm flabbergasted at just how much effort these ponies put into their leisure time. Each party is lovingly crafted and themed to whatever whims take their fancy.,I'm flabbergasted at just how much effort these ponies put into their leisure time. Each party is lovingly crafted and themed to whatever whims take their fancy.,I'm flabbergasted at just how much effort these ponies put into their leisure time. Each party is lovingly crafted and themed to whatever whims take their fancy.,I'm flabbergasted at just how much effort these ponies put into their leisure time. Each party is lovingly crafted and themed to whatever whims take their fancy.,I'm flabbergasted at just how much effort these ponies put into their leisure time. Each party is lovingly crafted and themed to whatever whims take their fancy.,I'm flabbergasted at just how much effort these ponies put into their leisure time. Each party is lovingly crafted and themed to whatever whims take their fancy.
Pony_Spell_PackedAudience_Name_Key,Text,,,,,Packed Audience,Packed Audience,Packed Audience,Packed Audience,Packed Audience,Packed Audience
Pony_Spell_PackedAudience_Description_Key,Text,,,,,Add three background ponies to the target floor. This can exceed a floor's [size].,Add three background ponies to the target floor. This can exceed a floor's [size].,Add three background ponies to the target floor. This can exceed a floor's [size].,Add three background ponies to the target floor. This can exceed a floor's [size].,Add three background ponies to the target floor. This can exceed a floor's [size].,Add three background ponies to the target floor. This can exceed a floor's [size].
Pony_Spell_PackedAudience_Lore_Key,Text,,,,,It surprises me how close-knit these small pony communities really are. Even a simple school play can draw a packed audience.,It surprises me how close-knit these small pony communities really are. Even a simple school play can draw a packed audience.,It surprises me how close-knit these small pony communities really are. Even a simple school play can draw a packed audience.,It surprises me how close-knit these small pony communities really are. Even a simple school play can draw a packed audience.,It surprises me how close-knit these small pony communities really are. Even a simple school play can draw a packed audience.,It surprises me how close-knit these small pony communities really are. Even a simple school play can draw a packed audience.
Pony_Spell_VIPList_Name_Key,Text,,,,,VIP List,VIP List,VIP List,VIP List,VIP List,VIP List
Pony_Spell_VIPList_Description_Key,Text,,,,,"Apply +10[attack], [health], and <b>Social</b> to all units in your hand.","Apply +10[attack], [health], and <b>Social</b> to all units in your hand.","Apply +10[attack], [health], and <b>Social</b> to all units in your hand.","Apply +10[attack], [health], and <b>Social</b> to all units in your hand.","Apply +10[attack], [health], and <b>Social</b> to all units in your hand.","Apply +10[attack], [health], and <b>Social</b> to all units in your hand."
Pony_Spell_VIPList_Lore_Key,Text,,,,,"Once I got to the big cities, I discovered that Equestria is not as idyllic and welcoming as I was lead to believe. In the heart of their society, corruption abounds. The socialites and their cliques turn their snotty noses up at anyone they deem not worthy enough for their posh little pony games.","Once I got to the big cities, I discovered that Equestria is not as idyllic and welcoming as I was lead to believe. In the heart of their society, corruption abounds. The socialites and their cliques turn their snotty noses up at anyone they deem not worthy enough for their posh little pony games.","Once I got to the big cities, I discovered that Equestria is not as idyllic and welcoming as I was lead to believe. In the heart of their society, corruption abounds. The socialites and their cliques turn their snotty noses up at anyone they deem not worthy enough for their posh little pony games.","Once I got to the big cities, I discovered that Equestria is not as idyllic and welcoming as I was lead to believe. In the heart of their society, corruption abounds. The socialites and their cliques turn their snotty noses up at anyone they deem not worthy enough for their posh little pony games.","Once I got to the big cities, I discovered that Equestria is not as idyllic and welcoming as I was lead to believe. In the heart of their society, corruption abounds. The socialites and their cliques turn their snotty noses up at anyone they deem not worthy enough for their posh little pony games.","Once I got to the big cities, I discovered that Equestria is not as idyllic and welcoming as I was lead to believe. In the heart of their society, corruption abounds. The socialites and their cliques turn their snotty noses up at anyone they deem not worthy enough for their posh little pony games."
Pony_Spell_PartyCannon_Name_Key,Text,,,,,Party Cannon,Party Cannon,Party Cannon,Party Cannon,Party Cannon,Party Cannon
Pony_Spell_PartyCannon_Description_Key,Text,,,,,Deal {[effect0.power]} damage to the front enemy unit and apply <nobr><b>Dazed {[effect1.status0.power]}</b>.,Deal {[effect0.power]} damage to the front enemy unit and apply <nobr><b>Dazed {[effect1.status0.power]}</b>.,Deal {[effect0.power]} damage to the front enemy unit and apply <nobr><b>Dazed {[effect1.status0.power]}</b>.,Deal {[effect0.power]} damage to the front enemy unit and apply <nobr><b>Dazed {[effect1.status0.power]}</b>.,Deal {[effect0.power]} damage to the front enemy unit and apply <nobr><b>Dazed {[effect1.status0.power]}</b>.,Deal {[effect0.power]} damage to the front enemy unit and apply <nobr><b>Dazed {[effect1.status0.power]}</b>.
Pony_Spell_PartyCannon_Lore_Key,Text,,,,,"The MK II Party Cannon is guaranteed to make any room festive in five seconds or less, filling it with streamers and confetti in a single blast. It's also effective as a weapon when used at point plank.","The MK II Party Cannon is guaranteed to make any room festive in five seconds or less, filling it with streamers and confetti in a single blast. It's also effective as a weapon when used at point plank.","The MK II Party Cannon is guaranteed to make any room festive in five seconds or less, filling it with streamers and confetti in a single blast. It's also effective as a weapon when used at point plank.","The MK II Party Cannon is guaranteed to make any room festive in five seconds or less, filling it with streamers and confetti in a single blast. It's also effective as a weapon when used at point plank.","The MK II Party Cannon is guaranteed to make any room festive in five seconds or less, filling it with streamers and confetti in a single blast. It's also effective as a weapon when used at point plank.","The MK II Party Cannon is guaranteed to make any room festive in five seconds or less, filling it with streamers and confetti in a single blast. It's also effective as a weapon when used at point plank."
Pony_Spell_BlankFlank_Name_Key,Text,,,,,Blank Flank,Blank Flank,Blank Flank,Blank Flank,Blank Flank,Blank Flank
Pony_Spell_BlankFlank_Description_Key,Text,,,,,"Remove all buffs, debuffs, and <b>Armor</b> from a target unit.","Remove all buffs, debuffs, and <b>Armor</b> from a target unit.","Remove all buffs, debuffs, and <b>Armor</b> from a target unit.","Remove all buffs, debuffs, and <b>Armor</b> from a target unit.","Remove all buffs, debuffs, and <b>Armor</b> from a target unit.","Remove all buffs, debuffs, and <b>Armor</b> from a target unit."
Pony_Spell_BlankFlank_Lore_Key,Text,,,,,"The symbols seen on the hind legs of ponies are called 'cutie marks,' and they appear when a foal matures enough to come of age. Little fillies and colts sometimes taunt the younger children who haven't earned one yet by calling them blank flanks.","The symbols seen on the hind legs of ponies are called 'cutie marks,' and they appear when a foal matures enough to come of age. Little fillies and colts sometimes taunt the younger children who haven't earned one yet by calling them blank flanks.","The symbols seen on the hind legs of ponies are called 'cutie marks,' and they appear when a foal matures enough to come of age. Little fillies and colts sometimes taunt the younger children who haven't earned one yet by calling them blank flanks.","The symbols seen on the hind legs of ponies are called 'cutie marks,' and they appear when a foal matures enough to come of age. Little fillies and colts sometimes taunt the younger children who haven't earned one yet by calling them blank flanks.","The symbols seen on the hind legs of ponies are called 'cutie marks,' and they appear when a foal matures enough to come of age. Little fillies and colts sometimes taunt the younger children who haven't earned one yet by calling them blank flanks.","The symbols seen on the hind legs of ponies are called 'cutie marks,' and they appear when a foal matures enough to come of age. Little fillies and colts sometimes taunt the younger children who haven't earned one yet by calling them blank flanks."
Pony_Spell_SpaTreatment_Name_Key,Text,,,,,Spa Treatment,Spa Treatment,Spa Treatment,Spa Treatment,Spa Treatment,Spa Treatment
Pony_Spell_SpaTreatment_Description_Key,Text,,,,,Apply <b>Armor {[effect0.status0.power]}</b> and heal a target unit for {[effect1.power]} three times.,Apply <b>Armor {[effect0.status0.power]}</b> and heal a target unit for {[effect1.power]} three times.,Apply <b>Armor {[effect0.status0.power]}</b> and heal a target unit for {[effect1.power]} three times.,Apply <b>Armor {[effect0.status0.power]}</b> and heal a target unit for {[effect1.power]} three times.,Apply <b>Armor {[effect0.status0.power]}</b> and heal a target unit for {[effect1.power]} three times.,Apply <b>Armor {[effect0.status0.power]}</b> and heal a target unit for {[effect1.power]} three times.
Pony_Spell_SpaTreatment_Lore_Key,Text,,,,,"For creatures without hands, their spa treatments are absolutely divine. Avoid the extreme full-tissue massage, though. Just... take my advice and don't question it.","For creatures without hands, their spa treatments are absolutely divine. Avoid the extreme full-tissue massage, though. Just... take my advice and don't question it.","For creatures without hands, their spa treatments are absolutely divine. Avoid the extreme full-tissue massage, though. Just... take my advice and don't question it.","For creatures without hands, their spa treatments are absolutely divine. Avoid the extreme full-tissue massage, though. Just... take my advice and don't question it.","For creatures without hands, their spa treatments are absolutely divine. Avoid the extreme full-tissue massage, though. Just... take my advice and don't question it.","For creatures without hands, their spa treatments are absolutely divine. Avoid the extreme full-tissue massage, though. Just... take my advice and don't question it."
Pony_Spell_SpontaneousSongAndDance_Name_Key,Text,,,,,Spontaneous Song and Dance,Spontaneous Song and Dance,Spontaneous Song and Dance,Spontaneous Song and Dance,Spontaneous Song and Dance,Spontaneous Song and Dance
Pony_Spell_SpontaneousSongAndDance_Description_Key,Text,,,,,Restore <nobr>+{[trait0.power]}[x] health</nobr> and apply <nobr>{[trait1.statusmultiplier]}[x] <b>Rage</b></nobr> to all friendly units.,Restore <nobr>+{[trait0.power]}[x] health</nobr> and apply <nobr>{[trait1.statusmultiplier]}[x] <b>Rage</b></nobr> to all friendly units.,Restore <nobr>+{[trait0.power]}[x] health</nobr> and apply <nobr>{[trait1.statusmultiplier]}[x] <b>Rage</b></nobr> to all friendly units.,Restore <nobr>+{[trait0.power]}[x] health</nobr> and apply <nobr>{[trait1.statusmultiplier]}[x] <b>Rage</b></nobr> to all friendly units.,Restore <nobr>+{[trait0.power]}[x] health</nobr> and apply <nobr>{[trait1.statusmultiplier]}[x] <b>Rage</b></nobr> to all friendly units.,Restore <nobr>+{[trait0.power]}[x] health</nobr> and apply <nobr>{[trait1.statusmultiplier]}[x] <b>Rage</b></nobr> to all friendly units.
Pony_Spell_SpontaneousSongAndDance_Lore_Key,Text,,,,,"One thing that's befuddled me about the little ponies is just how prone they are to randomly breaking out into song and dance. There seems to be no rhyme nor reason for it. It certainly makes their society quite lively, though.","One thing that's befuddled me about the little ponies is just how prone they are to randomly breaking out into song and dance. There seems to be no rhyme nor reason for it. It certainly makes their society quite lively, though.","One thing that's befuddled me about the little ponies is just how prone they are to randomly breaking out into song and dance. There seems to be no rhyme nor reason for it. It certainly makes their society quite lively, though.","One thing that's befuddled me about the little ponies is just how prone they are to randomly breaking out into song and dance. There seems to be no rhyme nor reason for it. It certainly makes their society quite lively, though.","One thing that's befuddled me about the little ponies is just how prone they are to randomly breaking out into song and dance. There seems to be no rhyme nor reason for it. It certainly makes their society quite lively, though.","One thing that's befuddled me about the little ponies is just how prone they are to randomly breaking out into song and dance. There seems to be no rhyme nor reason for it. It certainly makes their society quite lively, though."
CardTraitScalingAddDamage_ExtraHealing_XCostOutsideBattle_CardText,Text,,,,,<nobr><i>(<{1}>*+{0}*</{1}> healing)</i></nobr>,<nobr><i>(<{1}>*+{0}*</{1}> healing)</i></nobr>,<nobr><i>(<{1}>*+{0}*</{1}> healing)</i></nobr>,<nobr><i>(<{1}>*+{0}*</{1}> healing)</i></nobr>,<nobr><i>(<{1}>*+{0}*</{1}> healing)</i></nobr>,<nobr><i>(<{1}>*+{0}*</{1}> healing)</i></nobr>
Pony_Spell_Interrogation_Name_Key,Text,,,,,Interrogation,Interrogation,Interrogation,Interrogation,Interrogation,Interrogation
Pony_Spell_Interrogation_Description_Key,Text,,,,,Deal {[trait0.power]} damage to the front enemy unit for each pony in your deck.,Deal {[trait0.power]} damage to the front enemy unit for each pony in your deck.,Deal {[trait0.power]} damage to the front enemy unit for each pony in your deck.,Deal {[trait0.power]} damage to the front enemy unit for each pony in your deck.,Deal {[trait0.power]} damage to the front enemy unit for each pony in your deck.,Deal {[trait0.power]} damage to the front enemy unit for each pony in your deck.
Pony_Spell_Interrogation_Lore_Key,Text,,,,,"<b>""Who are you?""</b> <b>""What are you?""</b> <b>""Where did you come from?""</b> <b>""Why are you here?</b>"" <b>""What is that huge mechanical contraption?""</b> <b>""Why does it smell like brimstone?""</b> Once the ponies realized I wasn't hostile, they had about a million questions for me. Looking down at creatures that only stood as high as my waist, I had questions for myself too. Are these really the champions that Hell needs at a time like this? Can they possibly succeed where the hellborne have failed?","<b>""Who are you?""</b> <b>""What are you?""</b> <b>""Where did you come from?""</b> <b>""Why are you here?</b>"" <b>""What is that huge mechanical contraption?""</b> <b>""Why does it smell like brimstone?""</b> Once the ponies realized I wasn't hostile, they had about a million questions for me. Looking down at creatures that only stood as high as my waist, I had questions for myself too. Are these really the champions that Hell needs at a time like this? Can they possibly succeed where the hellborne have failed?","<b>""Who are you?""</b> <b>""What are you?""</b> <b>""Where did you come from?""</b> <b>""Why are you here?</b>"" <b>""What is that huge mechanical contraption?""</b> <b>""Why does it smell like brimstone?""</b> Once the ponies realized I wasn't hostile, they had about a million questions for me. Looking down at creatures that only stood as high as my waist, I had questions for myself too. Are these really the champions that Hell needs at a time like this? Can they possibly succeed where the hellborne have failed?","<b>""Who are you?""</b> <b>""What are you?""</b> <b>""Where did you come from?""</b> <b>""Why are you here?</b>"" <b>""What is that huge mechanical contraption?""</b> <b>""Why does it smell like brimstone?""</b> Once the ponies realized I wasn't hostile, they had about a million questions for me. Looking down at creatures that only stood as high as my waist, I had questions for myself too. Are these really the champions that Hell needs at a time like this? Can they possibly succeed where the hellborne have failed?","<b>""Who are you?""</b> <b>""What are you?""</b> <b>""Where did you come from?""</b> <b>""Why are you here?</b>"" <b>""What is that huge mechanical contraption?""</b> <b>""Why does it smell like brimstone?""</b> Once the ponies realized I wasn't hostile, they had about a million questions for me. Looking down at creatures that only stood as high as my waist, I had questions for myself too. Are these really the champions that Hell needs at a time like this? Can they possibly succeed where the hellborne have failed?","<b>""Who are you?""</b> <b>""What are you?""</b> <b>""Where did you come from?""</b> <b>""Why are you here?</b>"" <b>""What is that huge mechanical contraption?""</b> <b>""Why does it smell like brimstone?""</b> Once the ponies realized I wasn't hostile, they had about a million questions for me. Looking down at creatures that only stood as high as my waist, I had questions for myself too. Are these really the champions that Hell needs at a time like this? Can they possibly succeed where the hellborne have failed?"
Pony_Spell_FanClub_Name_Key,Text,,,,,Fan Club,Fan Club,Fan Club,Fan Club,Fan Club,Fan Club
Pony_Spell_FanClub_Description_Key,Text,,,,,Increase [size] by {[effect1.power]} and add a random common pony to your hand.,Increase [size] by {[effect1.power]} and add a random common pony to your hand.,Increase [size] by {[effect1.power]} and add a random common pony to your hand.,Increase [size] by {[effect1.power]} and add a random common pony to your hand.,Increase [size] by {[effect1.power]} and add a random common pony to your hand.,Increase [size] by {[effect1.power]} and add a random common pony to your hand.
